SK_DIM_DATE,DSS_LOAD_DATE,DSS_LAST_UPDATED_DATE,DATE,FULLDATEAUS,FULLDATEUSA,DAYOFMONTH,DAYNAME,MONTH,QUARTER,YEAR,FIRSTDAYOFMONTH,LASTDAYOFMONTH,FIRSTDAYOFQUARTER,LASTDAYOFQUARTER,FIRSTDAYOFYEAR,LASTDAYOFYEAR,ISWEEKDAY,ISNATIONALHOLIDAY,NATIONALHOLIDAY
20200101,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-01,01/01/2020,01/01/2020,1,Wednesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,1,New Years Day
20200102,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-02,02/01/2020,01/02/2020,2,Thursday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200103,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-03,03/01/2020,01/03/2020,3,Friday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200104,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-04,04/01/2020,01/04/2020,4,Saturday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200105,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-05,05/01/2020,01/05/2020,5,Sunday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200106,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-06,06/01/2020,01/06/2020,6,Monday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200107,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-07,07/01/2020,01/07/2020,7,Tuesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200108,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-08,08/01/2020,01/08/2020,8,Wednesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200109,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-09,09/01/2020,01/09/2020,9,Thursday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200110,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-10,10/01/2020,01/10/2020,10,Friday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200111,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-11,11/01/2020,01/11/2020,11,Saturday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200112,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-12,12/01/2020,01/12/2020,12,Sunday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200113,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-13,13/01/2020,01/13/2020,13,Monday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200114,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-14,14/01/2020,01/14/2020,14,Tuesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200115,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-15,15/01/2020,01/15/2020,15,Wednesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200116,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-16,16/01/2020,01/16/2020,16,Thursday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200117,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-17,17/01/2020,01/17/2020,17,Friday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200118,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-18,18/01/2020,01/18/2020,18,Saturday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200119,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-19,19/01/2020,01/19/2020,19,Sunday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200120,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-20,20/01/2020,01/20/2020,20,Monday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200121,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-21,21/01/2020,01/21/2020,21,Tuesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200122,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-22,22/01/2020,01/22/2020,22,Wednesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200123,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-23,23/01/2020,01/23/2020,23,Thursday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200124,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-24,24/01/2020,01/24/2020,24,Friday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200125,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-25,25/01/2020,01/25/2020,25,Saturday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200126,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-26,26/01/2020,01/26/2020,26,Sunday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,1,Australia Day
20200127,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-27,27/01/2020,01/27/2020,27,Monday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200128,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-28,28/01/2020,01/28/2020,28,Tuesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200129,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-29,29/01/2020,01/29/2020,29,Wednesday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200130,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-30,30/01/2020,01/30/2020,30,Thursday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200131,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-01-31,31/01/2020,01/31/2020,31,Friday,1,1,2020,2020-01-01,2020-01-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200201,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-01,01/02/2020,02/01/2020,1,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200202,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-02,02/02/2020,02/02/2020,2,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200203,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-03,03/02/2020,02/03/2020,3,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200204,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-04,04/02/2020,02/04/2020,4,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200205,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-05,05/02/2020,02/05/2020,5,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200206,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-06,06/02/2020,02/06/2020,6,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200207,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-07,07/02/2020,02/07/2020,7,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200208,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-08,08/02/2020,02/08/2020,8,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200209,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-09,09/02/2020,02/09/2020,9,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200210,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-10,10/02/2020,02/10/2020,10,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200211,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-11,11/02/2020,02/11/2020,11,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200212,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-12,12/02/2020,02/12/2020,12,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200213,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-13,13/02/2020,02/13/2020,13,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200214,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-14,14/02/2020,02/14/2020,14,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200215,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-15,15/02/2020,02/15/2020,15,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200216,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-16,16/02/2020,02/16/2020,16,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200217,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-17,17/02/2020,02/17/2020,17,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200218,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-18,18/02/2020,02/18/2020,18,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200219,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-19,19/02/2020,02/19/2020,19,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200220,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-20,20/02/2020,02/20/2020,20,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200221,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-21,21/02/2020,02/21/2020,21,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200222,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-22,22/02/2020,02/22/2020,22,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200223,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-23,23/02/2020,02/23/2020,23,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200224,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-24,24/02/2020,02/24/2020,24,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200225,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-25,25/02/2020,02/25/2020,25,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200226,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-26,26/02/2020,02/26/2020,26,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200227,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-27,27/02/2020,02/27/2020,27,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
